p_old	p_young	t_young_kya	t_old_kya	delta_kya	noem_old_precision	noem_old_recall	noem_old_f1	noem_young_precision	noem_young_recall	noem_young_f1	em_old_precision	em_old_recall	em_old_f1	em_young_precision	em_young_recall	em_young_f1	learned_lambda_n	learned_lambda_af	learned_lambda_old	learned_lambda_young	summary_json	out_dir
0.2	0.3	50000	55000	5000	0.4227	0.0448	0.081	0.6565	0.9589	0.7794	0.4368	0.1044	0.1686	0.6629	0.922	0.7713	0.862565268335345	0.09672271842491215	0.1257264800800264	0.043042788171969666	grid_runs/pold_0.2_pyoung_0.3_told_55000k_tyoung_50000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_55000k_tyoung_50000k
0.2	0.3	30000	40000	10000	0.3388	0.4861	0.3993	0.6881	0.547	0.6095	0.3509	0.1665	0.2258	0.6774	0.85	0.7539	0.8743840180818344	0.09701877754714806	0.06982825204508473	0.030646460634826126	grid_runs/pold_0.2_pyoung_0.3_told_40000k_tyoung_30000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_40000k_tyoung_30000k
0.2	0.3	35000	45000	10000	0.409	0.3733	0.3903	0.7144	0.745	0.7294	0.4875	0.141	0.2188	0.6934	0.9238	0.7922	0.8616313961898594	0.09606049309456102	0.08603507983413607	0.031776565294135584	grid_runs/pold_0.2_pyoung_0.3_told_45000k_tyoung_35000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_45000k_tyoung_35000k
0.2	0.3	40000	50000	10000	0.4049	0.3178	0.3561	0.7449	0.811	0.7766	0.4416	0.1783	0.254	0.7302	0.9063	0.8088	0.8641634422400922	0.09695683491325234	0.08534822492240333	0.03383655459393113	grid_runs/pold_0.2_pyoung_0.3_told_50000k_tyoung_40000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_50000k_tyoung_40000k
0.2	0.3	45000	55000	10000	0.4477	0.3133	0.3686	0.7122	0.8135	0.7595	0.5002	0.1635	0.2464	0.6964	0.9154	0.791	0.8710720569705513	0.09798849116373333	0.11013714813377087	0.039581470333349925	grid_runs/pold_0.2_pyoung_0.3_told_55000k_tyoung_45000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_55000k_tyoung_45000k
0.2	0.3	50000	60000	10000	0.3817	0.2544	0.3053	0.725	0.8233	0.771	0.4064	0.141	0.2094	0.7162	0.906	0.8	0.8806003873775428	0.09698617103467701	0.12299615329254934	0.0440048489726763	grid_runs/pold_0.2_pyoung_0.3_told_60000k_tyoung_50000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_60000k_tyoung_50000k
0.2	0.3	30000	45000	15000	0.347	0.6385	0.4496	0.7489	0.4754	0.5816	0.3927	0.2698	0.3198	0.7134	0.8148	0.7607	0.8723465747221824	0.09612095466920405	0.06981047008646384	0.030533407245314566	grid_runs/pold_0.2_pyoung_0.3_told_45000k_tyoung_30000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_45000k_tyoung_30000k
0.2	0.3	35000	50000	15000	0.4369	0.5863	0.5007	0.7607	0.6361	0.6928	0.5199	0.2466	0.3346	0.7064	0.8873	0.7865	0.8616951322974438	0.09622166287578086	0.08008522602990023	0.03261213029000632	grid_runs/pold_0.2_pyoung_0.3_told_50000k_tyoung_35000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_50000k_tyoung_35000k
0.2	0.3	40000	55000	15000	0.4218	0.5005	0.4578	0.7933	0.7387	0.765	0.5713	0.1969	0.2928	0.7517	0.9368	0.8341	0.8672662486052505	0.09666752149782216	0.10111939217244847	0.03447110879669201	grid_runs/pold_0.2_pyoung_0.3_told_55000k_tyoung_40000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_55000k_tyoung_40000k
0.2	0.3	45000	60000	15000	0.4114	0.4277	0.4194	0.7534	0.7313	0.7422	0.4434	0.1774	0.2534	0.7195	0.8974	0.7987	0.8765876783389542	0.09593842806225657	0.10533872462590138	0.03993657302942083	grid_runs/pold_0.2_pyoung_0.3_told_60000k_tyoung_45000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_60000k_tyoung_45000k
0.2	0.3	30000	50000	20000	0.367	0.7309	0.4886	0.7863	0.4383	0.5629	0.4844	0.2979	0.3689	0.7275	0.8561	0.7866	0.8782748094102099	0.09624382019562444	0.07447983825741995	0.03191498784994415	grid_runs/pold_0.2_pyoung_0.3_told_50000k_tyoung_30000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_50000k_tyoung_30000k
0.2	0.3	35000	55000	20000	0.4282	0.6683	0.5219	0.8217	0.6323	0.7147	0.5463	0.3439	0.4221	0.7603	0.8787	0.8152	0.8699573702109565	0.09633518718585171	0.07920325849441448	0.0313012466909248	grid_runs/pold_0.2_pyoung_0.3_told_55000k_tyoung_35000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_55000k_tyoung_35000k
0.2	0.3	40000	60000	20000	0.4824	0.5945	0.5326	0.7934	0.6978	0.7425	0.62	0.2505	0.3568	0.7268	0.9227	0.8131	0.8558909978318913	0.09847060252824497	0.09691275755705578	0.03479292039138386	grid_runs/pold_0.2_pyoung_0.3_told_60000k_tyoung_40000k/summary.json	grid_runs/pold_0.2_pyoung_0.3_told_60000k_tyoung_40000k
0.2	0.4	30000	35000	5000	0.2295	0.0502	0.0824	0.7551	0.9423	0.8383	0.271	0.0785	0.1217	0.7582	0.93	0.8354	0.8339158743450207	0.0959396155795707	0.0770296207044761	0.03128546343925162	grid_runs/pold_0.2_pyoung_0.4_told_35000k_tyoung_30000k/summary.json	grid_runs/pold_0.2_pyoung_0.4_told_35000k_tyoung_30000k
0.2	0.4	35000	40000	5000	0.2797	0.0157	0.0298	0.7707	0.9828	0.8639	0.2705	0.0691	0.1101	0.7732	0.9423	0.8494	0.830527091478352	0.09538249166930367	0.08036748786467429	0.03164405990904238	grid_runs/pold_0.2_pyoung_0.4_told_40000k_tyoung_35000k/summary.json	grid_runs/pold_0.2_pyoung_0.4_told_40000k_tyoung_35000k
0.2	0.4	40000	45000	5000	0.3429	0.0165	0.0314	0.7822	0.9859	0.8723	0.2812	0.0808	0.1255	0.7854	0.9377	0.8548	0.8321974103591603	0.09721215299991522	0.09322457891827295	0.03384024490537209	grid_runs/pold_0.2_pyoung_0.4_told_45000k_tyoung_40000k/summary.json	grid_runs/pold_0.2_pyoung_0.4_told_45000k_tyoung_40000k
0.2	0.4	45000	50000	5000	0.3925	0.0075	0.0148	0.7458	0.9889	0.8503	0.3359	0.061	0.1033	0.7498	0.9535	0.8395	0.8264647555363865	0.09718418094908696	0.12007950305602186	0.03928289112068775	grid_runs/pold_0.2_pyoung_0.4_told_50000k_tyoung_45000k/summary.json	grid_runs/pold_0.2_pyoung_0.4_told_50000k_tyoung_45000k
0.2	0.4	50000	55000	5000	0.2831	0.0061	0.0118	0.7597	0.9868	0.8585	0.2729	0.0716	0.1134	0.7627	0.9344	0.8398	0.835961643720239	0.09693267074725656	0.13923138929035486	0.04426014189202974	grid_runs/pold_0.2_pyoung_0.4_told_55000k_tyoung_50000k/summary.json	grid_runs/pold_0.2_pyoung_0.4_told_55000k_tyoung_50000k
0.2	0.4	30000	40000	10000	0.2555	0.3034	0.2774	0.7741	0.7339	0.7535	0.2604	0.1201	0.1644	0.7683	0.8953	0.827	0.8364980893934515	0.09598877881375857	0.07428644225925696	0.031429518270375274	grid_runs/pold_0.2_pyoung_0.4_told_40000k_tyoung_30000k/summary.json	grid_runs/pold_0.2_pyoung_0.4_told_40000k_tyoung_30000k
0.2	0.4	35000	45000	10000	0.3212	0.2162	0.2584	0.8058	0.8775	0.8401	0.3381	0.1396	0.1976	0.7997	0.9255	0.858	0.8371759472793392	0.097360064068297	0.08196997299152643	0.03218796449709172	grid_runs/pold_0.2_pyoung_0.4_told_45000k_tyoung_35000k/summary.json	grid_runs/pold_0.2_pyoung_0.4_told_45000k_tyoung_35000k
0.2	0.4	40000	50000	10000	0.3591	0.1397	0.2012	0.7772	0.9208	0.8429	0.4113	0.1511	0.221	0.7815	0.9289	0.8488	0.8229584333332515	0.09748873662617899	0.09038169678939029	0.03429127425494084	grid_runs/pold_0.2_pyoung_0.4_told_50000k_tyoung_40000k/summary.json	grid_runs/pold_0.2_pyoung_0.4_told_50000k_tyoung_40000k
0.2	0.4	45000	55000	10000	0.4567	0.1164	0.1855	0.7619	0.948	0.8448	0.4512	0.1014	0.1656	0.7602	0.9521	0.8454	0.8306135057025936	0.09724171178370637	0.1115657633731933	0.03937192636118057	grid_runs/pold_0.2_pyoung_0.4_told_55000k_tyoung_45000k/summary.json	grid_runs/pold_0.2_pyoung_0.4_told_55000k_tyoung_45000k
0.2	0.4	50000	60000	10000	0.3553	0.0925	0.1468	0.7731	0.9425	0.8495	0.35	0.1252	0.1844	0.7769	0.9238	0.844	0.8393679915065005	0.09667011076611534	0.12355151253609457	0.04411595496265097	grid_runs/pold_0.2_pyoung_0.4_told_60000k_tyoung_50000k/summary.json	grid_runs/pold_0.2_pyoung_0.4_told_60000k_tyoung_50000k
